tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
47657452,0,0,0,1,4,12023,117,7654,4,4334
47657453,0,0,0,1,4,12023,117,7654,4,4334
47657454,0,0,0,1,4,12023,117,7654,4,4334
47657455,0,51125,51125,1,4,12023,117,7654,4,4334
47657456,0,51125,51125,1,4,12023,117,7654,4,4334
47657457,0,51125,51125,1,4,12023,117,7654,4,4334
47657458,0,51125,51125,1,4,12023,117,7654,4,4334
47657459,0,0,51125,1,4,12023,117,7654,4,4334
47657460,0,0,51125,1,4,12023,117,7654,4,4334
47657461,0,0,51125,1,4,12023,117,7654,4,4334
47657462,0,0,51125,51125,4,12023,117,7654,4,4334
47657463,0,0,51125,51125,4,12023,117,7654,4,4334
47657464,0,0,51125,51125,4,12023,117,7654,4,4333
47657465,0,0,52522,52522,4,12023,117,7654,4,4333
47657466,0,0,52522,52522,4,12023,117,7654,4,4333
47663821,0,0,0,1,5,12023,117,7654,5,4333
47663822,0,0,0,1,5,12023,117,7654,5,4333
47663823,12025,0,0,1,5,12023,117,7654,5,4333
# MARK w2 tick=47663823
47663824,12025,0,0,1,5,12023,117,7654,5,4333
47663825,0,0,0,1,5,12023,117,7654,5,4333
47663826,0,0,0,1,5,12023,117,7654,5,4333
47663827,0,0,0,1,5,12023,117,7654,5,4333
47663828,0,51125,51125,1,5,12023,117,7654,5,4333
47663829,0,51125,51125,1,5,12023,117,7654,5,4333
47663830,0,51125,51125,1,5,12023,117,7654,5,4333
47663831,0,51125,51125,1,5,12023,117,7654,5,4333
47663832,0,0,51125,1,5,12023,117,7654,5,4333
47663833,0,0,51125,1,5,12023,117,7654,5,4333
47663834,0,0,51125,1,5,12023,117,7654,5,4333
47663835,0,0,51125,51125,5,12023,117,7654,5,4333
47663836,0,0,51125,51125,5,12023,117,7654,5,4334
47663837,0,0,51125,51125,5,12023,117,7654,5,377
47663838,0,0,0,377,5,12023,117,7654,5,377
47663839,0,0,0,377,5,12023,117,7654,5,377
47731387,0,0,0,1,4,12023,117,7654,4,4334
47731388,0,0,0,1,4,12023,117,7654,4,4334
47731389,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47731389
47731390,12025,0,0,1,4,12023,117,7654,4,4334
47731391,0,0,0,1,4,12023,117,7654,4,4334
47731392,0,0,0,1,4,12023,117,7654,4,4334
47731393,0,0,0,1,4,12023,117,7654,4,4334
47731394,0,51125,51125,1,4,12023,117,7654,4,4334
47731395,0,51125,51125,1,4,12023,117,7654,4,4334
47731396,0,51125,51125,1,4,12023,117,7654,4,4334
47731397,0,51125,51125,1,4,12023,117,7654,4,4334
47731398,0,0,51125,1,4,12023,117,7654,4,4334
47731399,0,0,51125,1,4,12023,117,7654,4,4334
47731400,0,0,51125,1,4,12023,117,7654,4,4334
47731401,0,0,51125,51125,4,12023,117,7654,4,4334
47731402,0,0,51125,51125,4,12023,117,7654,4,4334
47731403,0,0,51125,51125,4,12023,117,7654,4,4333
47731404,0,0,52522,52522,4,12023,117,7654,4,4333
47731405,0,0,52522,52522,4,12023,117,7654,4,4333
47737755,0,0,0,1,5,12023,117,7654,5,4333
47737756,0,0,0,1,5,12023,117,7654,5,4333
47737757,12025,0,0,1,5,12023,117,7654,5,4333
# MARK w2 tick=47737757
47737758,12025,0,0,1,5,12023,117,7654,5,4333
47737759,0,0,0,1,5,12023,117,7654,5,4333
47737760,0,0,0,1,5,12023,117,7654,5,4333
47737761,0,0,0,1,5,12023,117,7654,5,4333
47737762,0,51125,51125,1,5,12023,117,7654,5,4333
47737763,0,51125,51125,1,5,12023,117,7654,5,4333
47737764,0,51125,51125,1,5,12023,117,7654,5,4333
47737765,0,51125,51125,1,5,12023,117,7654,5,4333
47737766,0,0,51125,1,5,12023,117,7654,5,4333
47737767,0,0,51125,1,5,12023,117,7654,5,4333
47737768,0,0,51125,1,5,12023,117,7654,5,4333
47737769,0,0,51125,51125,5,12023,117,7654,5,4333
47737770,0,0,51125,51125,5,12023,117,7654,5,4334
47737771,0,0,51125,51125,5,12023,117,7654,5,377
47737772,0,0,0,377,5,12023,117,7654,5,377
47737773,0,0,0,377,5,12023,117,7654,5,377
47828375,0,0,0,1,4,12023,117,7654,4,4334
47828376,0,0,0,1,4,12023,117,7654,4,4334
