tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
44039149,6000,177545,2,2771,55672,7732,0,0,0,7732,0
44039150,6000,177545,2,2771,55672,7732,0,0,0,7732,0
44039151,6446,177545,2,2771,55672,7732,44604,0,44604,7732,0
44039152,6446,177545,2,2771,55672,7732,44604,0,44604,7732,0
44039153,6446,177545,2,2771,55672,7732,44604,0,44604,7732,0
44039154,6446,177545,2,2771,55672,7732,44604,0,44604,7732,0
44039155,6446,177545,2,2771,55672,7732,44604,0,0,7732,0
44039156,6446,177545,2,2771,55672,7732,44604,0,0,7732,0
44039157,6446,177545,2,2771,55672,7732,44604,0,0,7732,0
44039158,170,177545,2,2771,55672,7732,44604,0,0,7732,44604
44039159,170,177545,2,2771,55672,7732,0,0,0,7732,44604
44039160,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039161,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039162,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039163,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039164,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039165,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039166,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039167,0,177545,2,2771,55672,7732,0,7536,0,7732,44604
44039168,0,177545,2,2771,55672,7732,0,7536,0,7732,44604
44039169,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039170,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039171,0,177545,2,2771,55672,7732,0,0,0,7732,44604
44039172,0,177545,2,2771,55672,7732,7563,0,7563,7732,44604
44039173,0,177545,2,2771,55672,7732,7563,0,7563,7732,44604
44039174,0,177545,2,2771,55672,7732,7563,0,7563,7732,44604
44039175,0,177545,2,2771,55672,7732,7563,0,7563,7732,44604
44039176,0,177545,2,2771,55672,7732,7563,0,0,7732,44604
44039177,0,177545,2,2771,55672,7732,7563,0,0,7732,44604
44039178,0,177545,2,2771,55672,7732,7563,0,0,7732,44604
44039179,0,177545,2,2771,55672,7732,7563,0,0,7732,7563
44039180,0,177545,2,2771,55672,7732,0,0,0,7732,7563
44039181,2001,177545,2,2771,55672,7732,0,0,0,7732,7563
44039182,17416,177545,2,2771,55672,7732,0,0,0,7732,7563
44039183,17416,177545,2,2771,55672,7732,0,0,0,7732,7563
44039184,0,177545,2,2771,55672,7732,0,53416,0,7732,7563
44039185,6000,177545,2,2771,55672,7732,0,53416,0,7732,7563
44039186,6000,177545,2,2771,55672,7732,0,0,0,7732,7563
44039187,6000,177545,2,2771,55672,7732,0,0,0,7732,7563
44039188,6000,177545,2,2771,55672,7732,0,0,0,7732,7563
44039189,7260,177545,2,2771,55672,7732,126000,0,126000,7732,7563
44039190,7260,177545,2,2771,55672,7732,126000,0,126000,7732,7563
44039191,7260,177545,2,2771,55672,7732,126000,0,126000,7732,7563
44039192,7260,177545,2,2771,55672,7732,126000,0,126000,7732,7563
