tick,MEMRD_ADDR,MEMRD_DATA,RAM_IDX,RAM_Q,CSA_12_0,s_maclk,BDRY
45540176,0,0,12005,122400,0,0,0
45540177,51125,0,12005,122400,0,0,0
45540178,51125,0,12025,122400,0,1,0
# MARK ram tick=45540178
45540179,51125,0,12025,122400,0,0,0
45540180,51125,0,12025,122400,2001,0,0
45540181,51125,0,12025,122400,16166,0,0
45540182,51125,0,12000,122400,16166,0,0
45540183,51125,0,12005,122400,0,0,0
45540184,0,0,12005,122400,0,0,0
45811274,0,0,22011,705200,4341,1,0
45811275,0,0,22011,705200,4341,0,0
45811276,0,0,22011,705200,4345,0,0
45811277,0,0,22011,705200,4345,0,0
45811278,0,0,22011,705200,4345,0,0
45811279,5255,0,22011,705200,4345,0,0
# MARK addr tick=45811279
45811280,5255,0,22011,705200,4345,0,0
45811281,0,0,22002,705200,4345,0,0
45811282,0,0,4002,705200,4345,0,0
45811283,0,0,5255,705200,4345,0,0
# MARK ram tick=45811283
45811284,0,0,5255,400400,4345,0,0
45811285,0,0,5255,400400,4345,0,0
45811286,0,0,5255,400400,4345,0,0
45811287,0,0,4000,400400,4345,0,0
45811288,0,0,4002,400400,4345,0,0
45811289,0,0,4002,400400,4345,0,0
45811306,0,0,4002,400400,145,1,0
45811307,0,0,4002,400400,145,0,0
45811308,0,0,4002,400400,0,0,0
45811309,0,0,4002,400400,0,0,0
45811310,0,0,4002,400400,0,0,0
45811311,5255,0,4002,400400,0,0,0
# MARK addr tick=45811311
45811312,5255,0,4002,400400,0,0,0
45811313,0,0,4002,400400,0,0,0
45811314,41400,0,4002,400400,0,0,0
45811315,41400,0,5255,400400,0,1,0
# MARK ram tick=45811315
45811316,41400,0,5255,400400,0,0,0
45811317,41400,0,5255,400400,2001,0,0
45811318,41400,0,5255,400400,16423,0,0
45811319,41400,0,4000,400400,16423,0,0
45811320,41400,0,4002,400400,0,0,0
45811321,0,0,4002,400400,0,0,0
45812591,0,0,22011,304200,4332,1,0
45812592,0,0,22011,304200,4332,0,0
45812593,0,0,22011,304200,4334,0,0
45812594,0,0,22011,304200,4334,0,0
45812595,0,0,22011,304200,4334,0,0
45812596,5255,0,22011,304200,4334,0,0
# MARK addr tick=45812596
45812597,5255,0,22011,304200,4334,0,0
45812598,0,0,22002,304200,4334,0,0
45812599,0,0,4002,304200,4334,0,0
45812600,0,0,5255,304200,4334,0,0
# MARK ram tick=45812600
45812601,0,41400,5255,103400,4334,0,0
45812602,0,41400,5255,103400,4334,0,0
45812603,0,41400,5255,103400,4334,0,0
45812604,0,41400,4000,103400,4334,0,0
45812605,0,0,4002,103400,4334,0,0
45812606,0,0,4002,103400,4334,0,0
45819245,0,0,12005,400400,2001,0,0
45819246,0,0,12005,400400,17504,0,0
45819247,0,0,12005,400400,17504,0,0
45819248,55504,0,12005,400400,0,0,0
