tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_DATA,RAM_IDX,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
47432858,145,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432859,145,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432860,145,0,12075,14435,177777,7654,0,0,62031,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432861,145,0,12075,14435,177777,7654,0,0,62003,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432862,145,0,12075,14435,177777,7654,0,0,6003,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432863,145,0,12075,14435,177777,7654,0,0,7456,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432864,145,0,12075,14435,177777,7654,7502,7502,7456,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432865,145,0,12075,14435,177777,7654,7502,7502,7456,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432866,145,0,12075,14435,177777,7654,7502,7502,7456,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432867,145,0,12075,14435,177777,7654,7502,7502,6000,116400,15602,0,70101,0,14435,163342,0,14435,1,0
47432868,145,0,12075,14435,177777,7654,7502,0,6003,116400,15602,0,70101,0,14435,163342,0,14435,1,400400
47432869,145,0,12075,14435,177777,7654,7502,0,6003,116400,15602,0,70101,0,14435,163342,0,14435,1,400400
47432870,145,0,12075,14435,177777,7654,7502,0,6003,116400,15602,0,70101,0,14435,163342,0,14435,0,400400
47432871,145,0,12075,14435,177777,7654,17537,0,6003,116400,7502,16431,110145,0,14435,163342,0,14435,0,400400
