tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
71247794,0,177777,0,2462,177777,0,15,1147,12532,2454,2462,0,20000,142006,0,400000,2001
71247795,6000,177777,0,2462,177777,0,15,1147,12532,2454,2462,0,20000,142006,0,400000,2001
71247796,6000,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,1,0,2001
71247797,6000,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,1,0,2001
71247798,6000,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,1,0,2462
71247799,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,125010,20000,142006,1,0,2462
71247800,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,125010,20000,142006,1,0,2462
71247801,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,125010,20000,142006,1,0,2462
71247802,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,125010,20000,142006,1,0,2000
71247803,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,1,400400,2001
71247804,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,1,400400,2001
71247805,7250,177777,0,2462,177777,0,15,1147,12532,2454,0,0,20000,142006,0,400400,2001
71247806,143,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247807,143,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247808,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247809,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247810,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247811,0,177777,0,2463,177777,0,15,1147,12532,2454,2472,0,20000,125010,0,400400,2001
71247812,0,177777,0,2463,177777,0,15,1147,12532,2454,2472,0,20000,125010,0,400400,2001
71247813,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,1,0,2001
71247814,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,1,0,2001
71247815,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,1,0,2472
71247816,0,177777,0,2463,177777,0,15,1147,12532,2454,0,2406,20000,125010,1,0,2472
71247817,0,177777,0,2463,177777,0,15,1147,12532,2454,0,2406,20000,125010,1,0,2472
71247818,0,177777,0,2463,177777,0,15,1147,12532,2454,0,2406,20000,125010,1,0,2472
71247819,0,177777,0,2463,177777,0,15,1147,12532,2454,0,2406,20000,125010,1,0,2000
71247820,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,1,400400,2001
71247821,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,1,400400,2001
71247822,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,125010,0,400400,2001
71247823,0,177777,0,2463,177777,0,15,1147,12532,2454,0,0,20000,2406,0,400400,2001
