tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
68391594,145,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391595,0,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391596,16314,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391597,16314,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391598,0,157,47,376,0,377,14314,0,71157,146575,0,145,0,377,177400,0,376
68391599,6000,157,47,376,0,377,14314,0,71157,146575,0,145,0,377,177400,0,376
68391600,6000,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391601,6000,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391602,6000,157,47,376,0,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391603,6046,157,47,376,4611,377,0,4611,71157,146575,0,145,0,377,177400,0,376
68391604,6046,157,47,376,4611,377,0,4611,71157,146575,0,145,0,377,177400,0,376
68391605,6046,157,47,376,4611,377,0,4611,71157,146575,0,145,0,377,177400,0,376
68391606,6046,157,47,376,4611,377,0,4611,71157,146575,0,145,0,377,177400,0,376
68391607,6046,157,47,376,4611,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391608,6046,157,47,376,4611,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391609,6046,157,47,376,4611,377,0,0,71157,146575,0,145,0,377,177400,0,376
68391610,145,377,47,376,4777,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391611,145,377,47,376,377,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391612,0,377,47,376,377,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391613,0,377,47,376,377,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391614,0,377,47,376,377,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391615,0,377,47,376,377,377,7467,0,71157,146575,177400,50145,0,377,177400,0,377
68391616,0,377,47,376,377,377,7467,0,71157,146575,177400,50145,0,377,177400,0,377
68391617,0,377,47,376,377,377,0,0,71157,146575,177400,50145,0,377,177400,0,377
68391618,0,377,47,376,377,377,377,0,71157,146575,177400,50145,0,377,177400,0,377
68391619,0,377,47,376,0,0,377,0,71157,377,177400,0,0,0,177777,0,0
68391620,0,377,47,376,0,0,377,0,71157,377,177400,0,4,0,177777,0,0
68391621,2001,377,47,376,0,0,377,0,71157,377,177400,0,0,0,177777,0,0
68391622,16315,377,47,376,0,0,377,0,71157,377,177400,0,0,0,177777,0,0
68391623,16315,377,47,376,0,0,377,0,71157,377,177400,0,0,0,177777,0,0
68391624,0,377,47,376,0,0,377,0,71157,377,177400,0,0,0,177777,0,0
68391625,0,377,47,376,0,0,0,0,71157,377,177400,0,0,0,177777,0,0
68391626,0,377,47,376,0,0,14315,0,71157,377,177400,0,0,0,177777,0,0
68391627,6000,377,47,376,0,0,14315,0,71157,377,177400,0,0,0,177777,0,0
68391628,6000,377,47,376,0,0,0,0,71157,377,177400,0,0,0,177777,0,0
68391629,6000,377,47,376,0,0,0,0,71157,377,177400,0,0,0,177777,0,0
68391630,6000,377,47,376,0,0,0,0,71157,377,177400,0,0,0,177777,0,0
68391631,7243,377,47,376,124370,0,0,124370,71157,377,177400,0,0,0,177777,0,0
68391632,7243,377,47,376,124370,0,0,124370,71157,377,177400,0,34,0,177777,0,0
68391633,7243,377,47,376,124370,0,0,124370,71157,377,177400,0,34,0,177777,0,0
68391634,7243,377,47,376,124370,0,0,124370,71157,377,177400,0,34,0,177777,0,0
68391635,7243,377,47,376,124370,0,0,0,71157,377,177400,0,34,0,177777,0,0
68391636,7243,377,47,376,124370,0,0,0,71157,377,177400,0,34,0,177777,0,0
68391637,7243,377,47,376,124370,0,0,0,71157,377,177400,0,34,0,177777,0,0
68391638,0,377,47,376,124370,0,0,0,71157,124370,0,0,34,71157,177777,0,0
68391639,0,377,47,376,0,0,0,0,71157,124370,0,0,4,71157,177777,0,0
68391640,2001,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391641,16305,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391642,16305,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391643,0,377,47,376,0,0,14305,0,71157,124370,0,0,0,71157,177777,0,0
68391644,6000,377,47,376,0,0,14305,0,71157,124370,0,0,0,71157,177777,0,0
68391645,6000,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391646,6000,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391647,6000,377,47,376,0,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391648,6546,377,47,376,54611,0,0,54611,71157,124370,0,0,0,71157,177777,0,0
68391649,6546,377,47,376,54611,0,0,54611,71157,124370,0,0,0,71157,177777,0,0
68391650,6546,377,47,376,54611,0,0,54611,71157,124370,0,0,0,71157,177777,0,0
68391651,6546,377,47,376,54611,0,0,54611,71157,124370,0,0,0,71157,177777,0,0
68391652,6546,377,47,376,54611,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391653,6546,377,47,376,54611,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391654,6546,377,47,376,54611,0,0,0,71157,124370,0,0,0,71157,177777,0,0
68391655,174,377,47,376,54611,71157,0,0,71157,54611,0,174,0,71157,106620,0,0
68391656,174,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391657,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391658,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391659,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391660,0,377,47,376,0,71157,7467,0,71157,54611,0,174,3,71157,106620,0,0
68391661,0,377,47,376,0,71157,7467,0,71157,54611,0,174,3,71157,106620,0,0
68391662,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391663,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391664,0,377,47,376,0,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391665,0,377,47,376,377,71157,0,377,71157,54611,0,174,3,71157,106620,0,0
68391666,0,377,47,376,377,71157,0,377,71157,54611,0,174,3,71157,106620,0,0
68391667,0,377,47,376,377,71157,0,377,71157,54611,0,174,3,71157,106620,0,0
68391668,0,377,47,376,377,71157,0,377,71157,54611,0,174,3,71157,106620,0,0
68391669,0,377,47,376,377,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391670,0,377,47,376,377,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391671,0,377,47,376,377,71157,0,0,71157,54611,0,174,3,71157,106620,0,0
68391672,0,377,47,376,377,377,0,0,71157,377,67562,0,3,377,177400,377,0
68391673,0,377,47,376,0,377,0,0,71157,377,67562,0,4,377,177400,377,0
68391674,2001,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391675,16306,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391676,16306,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391677,0,377,47,376,0,377,14306,0,71157,377,67562,0,0,377,177400,377,0
68391678,6000,377,47,376,0,377,14306,0,71157,377,67562,0,0,377,177400,377,0
68391679,6000,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391680,6000,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391681,6000,377,47,376,0,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391682,6506,377,47,376,50606,377,0,50606,71157,377,67562,0,0,377,177400,377,0
68391683,6506,377,47,376,50606,377,0,50606,71157,377,67562,0,0,377,177400,377,0
68391684,6506,377,47,376,50606,377,0,50606,71157,377,67562,0,0,377,177400,377,0
68391685,6506,377,47,376,50606,377,0,50606,71157,377,67562,0,0,377,177400,377,0
68391686,6506,377,47,376,50606,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391687,6506,377,47,376,50606,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391688,6506,377,47,376,50606,377,0,0,71157,377,67562,0,0,377,177400,377,0
68391689,172,377,47,377,50606,71157,0,0,71157,50606,177400,172,0,71157,106620,0,0
68391690,172,377,47,377,0,71157,0,0,71157,50606,177400,172,3,71157,106620,0,0
68391691,0,377,47,377,0,71157,0,0,71157,50606,177400,172,3,71157,106620,0,0
68391692,0,377,47,377,0,71157,0,0,71157,50606,177400,172,3,71157,106620,0,0
68391693,0,377,47,377,0,71157,0,0,71157,50606,177400,172,3,71157,106620,0,0
