tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
71053085,0,4611,4611,377,40,47,0,7656,376,6046
71053086,0,0,4611,377,40,47,0,7656,376,6046
71053087,0,0,4611,377,40,47,0,7656,376,6046
71053088,0,0,4611,377,40,47,0,7656,376,6046
71053089,0,0,4777,377,377,47,0,7656,376,145
# MARK ra tick=71053089
71053090,0,0,377,377,377,47,0,7656,376,145
71053091,0,0,377,377,377,47,0,7656,376,0
71053092,0,0,377,377,377,47,0,7656,376,0
71058707,0,0,12503,12503,177777,0,12503,1147,15,1151
71058708,0,0,12503,12503,177777,0,12503,1147,15,1152
71058709,0,0,116400,116400,177777,0,12503,1147,15,1152
71058710,0,0,116400,116400,177777,0,12503,1147,15,1153
71058711,0,0,116400,116400,177777,0,12503,1147,15,1153
71058712,0,0,170000,170000,177777,0,12503,1147,15,1153
71058713,0,0,170000,170000,177777,0,12503,1147,15,1154
71058714,0,0,170000,170000,177777,0,12503,1147,15,1154
71058715,0,0,110000,110000,177777,0,12503,1147,15,1154
71058716,0,0,110000,110000,177777,0,12503,1147,15,1155
71058717,0,0,110000,110000,177777,0,12503,1147,15,1155
71058718,0,0,7,7,177777,0,12503,1147,15,1155
71058719,0,0,7,7,177777,0,12503,1147,15,1156
71058720,0,0,7,7,177777,0,12503,1147,15,1156
71058721,0,0,20001,20001,177777,0,12503,1147,15,1156
71058722,0,0,20001,20001,177777,0,12503,1147,15,1157
71058723,0,0,20001,20001,177777,0,12503,1147,15,1156
71058724,0,0,376,376,177777,0,12503,1147,15,1156
71058725,0,0,376,376,177777,0,12503,1147,15,1156
71058726,0,0,376,376,177777,0,12503,1147,15,1156
71058727,0,0,376,376,177777,0,12503,1147,376,1156
71058728,0,0,376,376,177777,0,12503,1147,376,1156
71058729,0,0,376,376,177777,0,12503,1147,376,1156
71058730,0,0,47,47,177777,0,12503,1147,376,1156
71058731,0,0,47,47,177777,0,12503,1147,376,1156
71058732,0,0,47,47,177777,0,12503,1147,376,1156
71058733,0,0,377,377,177777,47,12503,1147,376,1156
71058734,0,0,377,377,177777,47,12503,1147,376,1156
71058735,0,0,377,377,177777,47,12503,1147,376,1156
71058736,0,0,11265,11265,377,47,12503,1147,376,1156
# MARK ra tick=71058736
71058737,0,0,11265,11265,377,47,12503,1147,376,1156
71058738,0,0,11265,11265,377,47,12503,1147,376,1156
71058739,0,0,7656,7656,377,47,12503,1147,376,1156
71158991,0,51125,177777,1,4,66012,0,7646,4,4334
71158992,0,51125,177777,1,4,66012,0,7646,4,4334
71158993,0,51125,177777,1,4,66012,0,7646,4,4334
71158994,0,0,177777,1,4,66012,0,7646,4,4334
71158995,0,0,177777,1,4,66012,0,7646,4,4334
71158996,0,0,177777,1,4,66012,0,7646,4,4334
71158997,0,0,177777,177777,4,66012,0,7646,4,4334
71158998,0,0,177777,177777,4,66012,0,7646,4,4334
71158999,0,0,177777,177777,4,66012,0,7646,4,4333
71159000,0,0,177777,177777,4,66012,0,7646,4,4333
71159001,0,0,177777,177777,4,66012,0,7646,4,4333
71159002,0,0,177777,177777,4,66012,0,7646,4,377
71159003,0,0,177777,377,4,66012,0,7646,4,377
71159004,0,0,0,377,4,66012,0,7646,4,377
71159005,0,0,0,377,4,66012,0,7646,4,401
71159006,0,0,0,377,4,66012,0,7646,4,16310
71159007,0,0,0,377,4,66012,0,7646,4,16310
71159008,14310,0,0,377,4,66012,0,7646,4,0
71159009,14310,0,0,377,4,66012,0,7646,4,6000
71159010,0,0,0,377,4,66012,0,7646,4,6000
71159011,0,0,0,377,4,66012,0,7646,4,6000
71159012,0,0,0,377,4,66012,0,7646,4,6000
71159013,0,171047,171047,377,4,66012,0,7646,4,7710
71159014,0,171047,171047,377,4,66012,0,7646,4,7710
71159015,0,171047,171047,377,4,66012,0,7646,4,7710
71159016,0,171047,171047,377,4,66012,0,7646,4,7710
71159017,0,0,171047,377,4,66012,0,7646,4,7710
71159018,0,0,171047,377,4,66012,0,7646,4,7710
71159019,0,0,171047,377,4,66012,0,7646,4,7710
71159020,0,0,171047,47,377,66012,0,7646,4,0
# MARK ra tick=71159020
71159021,0,0,0,47,377,66012,0,7646,4,0
71159022,0,0,0,47,377,66012,0,7646,4,2001
71159023,0,0,0,47,377,66012,0,7646,4,16311
71159208,0,0,177777,1,5,66012,0,7646,5,4333
71159209,0,0,177777,1,5,66012,0,7646,5,4333
71159210,0,51125,177777,1,5,66012,0,7646,5,4333
71159211,0,51125,177777,1,5,66012,0,7646,5,4333
71159212,0,51125,177777,1,5,66012,0,7646,5,4333
71159213,0,51125,177777,1,5,66012,0,7646,5,4333
71159214,0,0,177777,1,5,66012,0,7646,5,4333
71159215,0,0,177777,1,5,66012,0,7646,5,4333
71159216,0,0,177777,1,5,66012,0,7646,5,4333
71159217,0,0,177777,177777,5,66012,0,7646,5,4333
71159218,0,0,177777,177777,5,66012,0,7646,5,4334
71159219,0,0,177777,177777,5,66012,0,7646,5,377
71159220,0,0,177777,377,5,66012,0,7646,5,377
71159221,0,0,0,377,5,66012,0,7646,5,377
71159222,0,0,0,377,5,66012,0,7646,5,401
71159223,0,0,0,377,5,66012,0,7646,5,16310
