tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
44087915,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44087915
44087916,2522,177777,110044,2522,2522,122,111,111,1156
44087917,2522,177777,110044,2522,2522,122,111,111,1156
44087918,55345,177777,110044,55345,55345,345,111,111,1156
44087919,55345,177777,110044,55345,55345,345,111,111,1156
44092552,15,177777,110044,15,15,15,111,111,1131
44092553,15,177777,110044,15,15,15,111,111,1131
44092554,15,177777,110044,15,15,15,111,111,1133
44092555,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44092555
44092556,2522,177777,110044,2522,2522,122,111,111,1133
44092557,2522,177777,110044,2522,2522,122,111,111,1134
44092558,15,177777,110044,15,15,15,111,111,1134
44092559,15,177777,110044,15,15,15,111,111,1135
44092615,7732,177777,110044,7732,7732,332,111,111,1151
44092616,7732,177777,110044,7732,7732,332,111,111,1151
44092617,7732,177777,110044,7732,7732,332,111,111,1151
44092618,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44092618
44092619,2522,177777,110044,2522,2522,122,111,111,1151
44092620,2522,177777,110044,2522,2522,122,111,111,1151
44092621,55345,177777,110044,55345,55345,345,111,111,1151
44092622,55345,177777,110044,55345,55345,345,111,111,1151
44097626,15,177777,116400,15,15,15,111,111,1131
44097627,15,177777,116400,15,15,15,111,111,1131
44097628,15,177777,116400,15,15,15,111,111,1133
44097629,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44097629
44097630,2522,177777,116400,2522,2522,122,111,111,1133
44097631,2522,177777,116400,2522,2522,122,111,111,1134
44097632,15,177777,116400,15,15,15,111,111,1134
44097633,15,177777,116400,15,15,15,111,111,1135
44098055,7732,177777,110044,7732,7732,332,111,111,1156
44098056,7732,177777,110044,7732,7732,332,111,111,1156
44098057,7732,177777,110044,7732,7732,332,111,111,1156
44098058,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44098058
44098059,2522,177777,110044,2522,2522,122,111,111,1156
44098060,2522,177777,110044,2522,2522,122,111,111,1156
44098061,55345,177777,110044,55345,55345,345,111,111,1156
44098062,55345,177777,110044,55345,55345,345,111,111,1156
44102678,15,177777,110044,15,15,15,111,111,1131
44102679,15,177777,110044,15,15,15,111,111,1131
44102680,15,177777,110044,15,15,15,111,111,1133
44102681,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44102681
44102682,2522,177777,110044,2522,2522,122,111,111,1133
44102683,2522,177777,110044,2522,2522,122,111,111,1134
44102684,15,177777,110044,15,15,15,111,111,1134
44102685,15,177777,110044,15,15,15,111,111,1135
44102741,7732,177777,110044,7732,7732,332,111,111,1151
44102742,7732,177777,110044,7732,7732,332,111,111,1151
44102743,7732,177777,110044,7732,7732,332,111,111,1151
44102744,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44102744
44102745,2522,177777,110044,2522,2522,122,111,111,1151
44102746,2522,177777,110044,2522,2522,122,111,111,1151
44102747,55345,177777,110044,55345,55345,345,111,111,1151
44102748,55345,177777,110044,55345,55345,345,111,111,1151
44107866,15,177777,116400,15,15,15,111,111,1131
44107867,15,177777,116400,15,15,15,111,111,1131
44107868,15,177777,116400,15,15,15,111,111,1133
44107869,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44107869
44107870,2522,177777,116400,2522,2522,122,111,111,1133
44107871,2522,177777,116400,2522,2522,122,111,111,1134
44107872,15,177777,116400,15,15,15,111,111,1134
44107873,15,177777,116400,15,15,15,111,111,1135
44113175,15,177777,116400,15,15,15,111,111,1131
44113176,15,177777,116400,15,15,15,111,111,1131
44113177,15,177777,116400,15,15,15,111,111,1133
44113178,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44113178
44113179,2522,177777,116400,2522,2522,122,111,111,1133
44113180,2522,177777,116400,2522,2522,122,111,111,1134
44113181,15,177777,116400,15,15,15,111,111,1134
44113182,15,177777,116400,15,15,15,111,111,1135
44113604,7732,177777,110044,7732,7732,332,111,111,1156
44113605,7732,177777,110044,7732,7732,332,111,111,1156
44113606,7732,177777,110044,7732,7732,332,111,111,1156
44113607,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44113607
44113608,2522,177777,110044,2522,2522,122,111,111,1156
44113609,2522,177777,110044,2522,2522,122,111,111,1156
44113610,55345,177777,110044,55345,55345,345,111,111,1156
44113611,55345,177777,110044,55345,55345,345,111,111,1156
44118234,15,177777,110044,15,15,15,111,111,1131
44118235,15,177777,110044,15,15,15,111,111,1131
44118236,15,177777,110044,15,15,15,111,111,1133
44118237,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44118237
44118238,2522,177777,110044,2522,2522,122,111,111,1133
44118239,2522,177777,110044,2522,2522,122,111,111,1134
44118240,15,177777,110044,15,15,15,111,111,1134
44118241,15,177777,110044,15,15,15,111,111,1135
44118297,7732,177777,110044,7732,7732,332,111,111,1151
44118298,7732,177777,110044,7732,7732,332,111,111,1151
44118299,7732,177777,110044,7732,7732,332,111,111,1151
44118300,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44118300
44118301,2522,177777,110044,2522,2522,122,111,111,1151
44118302,2522,177777,110044,2522,2522,122,111,111,1151
44118303,55345,177777,110044,55345,55345,345,111,111,1151
44118304,55345,177777,110044,55345,55345,345,111,111,1151
44123313,15,177777,116400,15,15,15,111,111,1131
44123314,15,177777,116400,15,15,15,111,111,1131
44123315,15,177777,116400,15,15,15,111,111,1133
44123316,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44123316
44123317,2522,177777,116400,2522,2522,122,111,111,1133
44123318,2522,177777,116400,2522,2522,122,111,111,1134
44123319,15,177777,116400,15,15,15,111,111,1134
44123320,15,177777,116400,15,15,15,111,111,1135
44128714,15,177777,116400,15,15,15,111,111,1131
44128715,15,177777,116400,15,15,15,111,111,1131
44128716,15,177777,116400,15,15,15,111,111,1133
44128717,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44128717
44128718,2522,177777,116400,2522,2522,122,111,111,1133
44128719,2522,177777,116400,2522,2522,122,111,111,1134
44128720,15,177777,116400,15,15,15,111,111,1134
44128721,15,177777,116400,15,15,15,111,111,1135
44129143,7732,177777,110044,7732,7732,332,111,111,1156
44129144,7732,177777,110044,7732,7732,332,111,111,1156
44129145,7732,177777,110044,7732,7732,332,111,111,1156
44129146,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44129146
44129147,2522,177777,110044,2522,2522,122,111,111,1156
44129148,2522,177777,110044,2522,2522,122,111,111,1156
44129149,55345,177777,110044,55345,55345,345,111,111,1156
44129150,55345,177777,110044,55345,55345,345,111,111,1156
44131682,55344,64,302,55344,55344,344,111,111,3761
44131683,55344,64,302,55344,55344,344,111,111,3761
44131684,55344,64,302,55344,55344,344,111,111,2333
44131685,2525,64,302,2525,2525,125,111,111,2333
# MARK idbU tick=44131685
44131686,2525,64,302,2525,2525,125,111,111,2333
44131687,2525,64,302,2525,2525,125,111,111,2334
44131688,10,64,302,10,10,10,111,111,2334
44131689,10,64,302,10,10,10,111,111,2335
