tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45506013,7350,6,74,22457,6,74,5,7753,0,135005,51125,125,1,0,22000
45506014,7350,6,74,22457,6,74,5,7753,0,0,51125,125,1,400400,22011
45506015,7350,6,74,22457,6,74,5,7753,0,0,51125,125,1,400400,22011
45506016,7350,6,74,22457,6,74,5,7753,0,0,51125,125,0,400400,22011
45506017,143,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506018,143,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506019,0,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506020,0,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506021,0,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506022,0,125,74,22460,125,74,5,7753,22464,0,51125,135005,0,0,22011
45506023,0,125,74,22460,125,74,5,7753,22464,0,51125,135005,0,0,22011
45506024,0,125,74,22460,125,74,5,7753,0,0,51125,135005,1,0,22011
45506025,0,125,74,22460,125,74,5,7753,0,0,51125,135005,1,0,22011
45506026,0,125,74,22460,125,74,5,7753,0,0,51125,135005,1,0,22464
45506027,0,125,74,22460,125,74,5,7753,0,63206,51125,135005,1,0,22464
45506028,0,125,74,22460,125,74,5,7753,0,63206,51125,135005,1,0,22464
45506029,0,125,74,22460,125,74,5,7753,0,63206,51125,135005,1,0,22464
45506030,0,125,74,22460,125,74,5,7753,0,63206,51125,135005,1,0,22000
45506031,0,125,74,22460,125,74,5,7753,0,0,51125,135005,1,400400,22011
45506032,0,125,74,22460,125,74,5,7753,0,0,51125,135005,1,400400,22011
45506033,0,125,74,22460,125,74,5,7753,0,0,51125,135005,0,400400,22011
45506034,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506035,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506036,2001,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506037,17206,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506038,17206,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506039,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506040,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506041,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22464
45506042,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22464
