tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
44604648,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604649,0,123,17,773,10,1164,0,770,0,22416,125604,0,143,34,22416,155361,0,0
44604650,0,123,17,773,10,1164,0,770,0,22416,125604,0,143,34,22416,155361,0,0
44604651,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604652,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604653,0,123,17,773,10,1164,0,0,0,22416,125604,0,143,34,22416,155361,0,0
44604654,0,123,17,773,10,1164,22417,0,22417,22416,125604,0,143,34,22416,155361,0,0
44604655,0,123,17,773,10,1164,22417,0,22417,22416,125604,0,143,34,22416,155361,0,0
44604656,0,123,17,773,10,1164,22417,0,22417,22416,125604,0,143,34,22416,155361,0,0
44604657,0,123,17,773,10,1164,22417,0,22417,22416,125604,0,143,34,22416,155361,0,0
44604658,0,123,17,773,10,1164,22417,0,0,22416,125604,0,143,34,22416,155361,0,0
44604659,0,123,17,773,10,1164,22417,0,0,22416,125604,0,143,34,22416,155361,0,0
44604660,0,123,17,773,10,1164,22417,0,0,22416,125604,0,143,34,22416,155361,0,0
44604661,0,123,17,773,10,1164,22417,0,0,22416,22417,7045,0,34,22416,177777,0,0
44604662,0,123,17,773,10,1164,0,0,0,22416,22417,7045,0,4,22416,177777,0,0
